title,year,certificate,duration,"genre",rating,"description",stars,votes
One the Woman,2014,PG-13,85,"Comedy",4.7,"in an effort to deal with the grief over the death of her son, a Georgia mother travels the back roads of the deep south to settle a score. A story of grief and forgiveness, of looking inward to find a way to move forward.","[Alex Goyette,Cameron Dallas,Matt Shively,Lia Marie Johnson,Marcus Johns]",6765
Ashley Garcia: Genius in Love,2021,Not Rated,115,"Drama, Romance",6.9,"A couple visits the husband's family in India and finds itself in the middle of a fratricidal battle.","[Chen-Hao Yin,Roy Chiu,Hsin-Ling Chung,Wei-Ning Hsu,Wei-Hua Lan]",1835
Unstable,2014,TV-PG,23,"Animation, Comedy, Romance",7.6,"Join Mario, and Luigi in 26 action packed adventures based on the classic NES.","[Yûichi Nakamura,Ari Ozawa,Masumi Tazawa,Sawako Hata]",3549
Johan Falk: GSI - Gruppen för särskilda insatser,2021,Not Rated,163,"Action, Comedy, Drama",4,"Roland Sallinger is an LA cop who after nearly being killed by his greedy partner, and eventually being forced to retire for medical reasons, flees to San Antonio, Texas, after being asked ... See full summary »","[Siva,Rajinikanth,Keerthy Suresh,Nayanthara,Kushboo]",9826
The Waiter,2022,TV-MA,115,"Horror, Thriller",4.7,"Dwayne Johnson presents and stars in The Titans, a groundbreaking new athletic competition based on Dwayne's belief that within each and every one of us is the potential for greatness.","[Rocky Soraya,Jessica Mila,Winky Wiryawan,Masayu Anastasia,Montserrat Gizelle]",146
In Their Skin,2019,TV-MA,52,"Action, Mystery",6.4,"A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.","[Issaka Sawadogo,Yann Gael,Christiane Dumont,Christophe Guybet]",139
The Real Miyagi,2022,PG-13,92,"Documentary",5.2,"Exploring the rich culture of street food in some of the world's most colorful cities.","[Tamana Ayazi,Marcel Mettelsiefen,Zarifa Ghafari]",13
Murder Mountain,2015-2017,TV-Y7,23,"Animation, Short, Adventure",5.8,"A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.","[Dan Milano,A.J. LoCascio,Laraine Newman,Cree Summer]",735
Last Madame,2017,TV-MA,54,"Comedy, Music, Musical",6.8,"An intimate look at the lives of four doctors - two brain surgeons, an emergency room physician, and a Chief Resident OBGYN - as they navigate the highs and lows of working at the renowned Lenox Hill Hospital in New York City.","[Scott Aukerman,Akiva Schaffer,Michael Bolton,Sarah Shahi,Adam Scott,Matthew Kimbrough]",2149
Chaman Bahaar,2016,R,92,"Drama",6,"Bank-robber Franck Adrien is serving a prison sentence after robbing a national bank. Before he was caught he managed to hide the money but now it's not just the police who are looking for ... See full summary »","[Katherine Dieckmann,Holly Hunter,Carrie Coon,Kim Coates,Choppy Guillotte]",1597
"Hyde, Jekyll, Me",2019,TV-Y7,45,"Animation, Action, Adventure",6.9,"A documentary that tells Bill Gates' life story as he pursues solutions to some of the world's most complex problems.","[Joe Murray,Cosmo Segurson,Carlos Alazraqui,Tom Kenny,Charlie Adler,Mr. Lawrence]",3917
Go Jetters,2002,Not Rated,170,"Action, Drama, Thriller",6,"Barbie Malibu Roberts and Barbie Brooklyn Roberts chase their dreams of musical stardom.","[Krishna Vamsi,Karisma Kapoor,Nana Patekar,Sanjay Kapoor,Jai Gidwani]",4963
Stay on Board: The Leo Baker Story,1990,TV-Y7,11,"Animation, Adventure, Comedy",7.1,"In a quarter mile drag race, drivers of exotic supercars go up against sleeper cars built and modified by dedicated gearheads.","[Walker Boone,Tony Rosato,Tracey Moore,John Stocker]",1686
Asakusa Kid,2009,R,94,"Action, Crime, Thriller",5,"A story set in Indochina in 1959, a land beyond rule and a time without mercy and the birth of a legend.","[Keoni Waxman,Steven Seagal,Liezl Carstens,Arron Shiver,Johnnie Hector]",4650
Persona,2019,TV-G,60,"Game-Show, Reality-TV",7.1,"A woman engaged to marry a self-centered film and stage director/choreographer falls for a caterer whom she kisses, as does he for her.","[Dwayne Johnson,Cari Champion,Ben Afuvai,Kim Rosen]",3531
The Entitled,1996,R,88,"Comedy, Drama",6.6,"Lorenzo, a 50 y.o. painter, is having a child with his new wife, Sigrid. She gets stranger and stranger - or he does. He claims, the baby's been switched.","[Lisa Krueger,Scarlett Johansson,Aleksa Palladino,Mary Kay Place,Dean Silvers]",2096
Too Hot to Handle: Latino,2019,TV-G,30,"Documentary",7.9,"The 12th Twelve Tournament that gets held every twelve years - Twelve brave warriors who bear the names of the signs of the zodiac fight each other for the lives and souls. The participants... See full summary »","[Philip Hersh,Caitlyn Elizabeth,Chawadee Nualkhair,Daniel Lee Gray]",2882
Lookout,2021,TV-MA,102,"Comedy, Drama",6.4,"After the loss of her grandfather, Maïwenn explores her heritage and her Algerian roots.","[Ricardo Trogi,Monika Pilon,Katia Lévesque,Hugues Saint Louis,Anya Oshun]",1726
Act of Vengeance,2011,R,105,"Action, Crime, Drama",6.6,"Because he wanted to protect his little brother from a father too violent, Teddy, a young man without history, is accused of the murder of his father and is sent to a closed educational ... See full summary »","[Eric Valette,Albert Dupontel,Alice Taglioni,Stéphane Debac,Sergi López]",5578
Zbrodnia,2019,TV-14,52,"Documentary",7.8,"The Disappearance of Madeleine McCann takes a detailed look at the disappearance of three-year-old Madeleine McCann, who vanished from the seaside resort of Praia de Luz in Portugal, while on holiday with her family.","[Bill Gates,Alex Bueermann,Davin Orness]",11017
Dark Forces,2018-2019,TV-MA,45,"Documentary, Reality-TV",7.1,"The 101 year old man Allan Karlsson goes through Europe in search for a Russian soda recipe he lost during the early 70s. Unfortunately, he is not the only one who is looking for it.","[Elias,Lisa Clark,Sammy Maloof,Hannah Maloof]",1351
Absurd Planet,2017,TV-14,94,"Action, Drama",4.9,"March 18, 1990, 13 works of art were stolen from the Isabella Stewart Gardner Museum in Boston. Guards admitted two men posing as police officers responding to a disturbance call, and the thieves tied the guards up and looted the museum.","[Jesse V. Johnson,Scott Adkins,Marko Zaror,JuJu Chan Szeto,Cung Le]",3324
Can You Hear Me,2015,Unrated,89,"Comedy, Drama, Romance",5.3,"The story focuses on the Holy Grail War and explores the relationship between Shirou Emiya and Sakura Matou, two teenagers participating in this conflict. The story continues immediately ... See full summary »","[Michael Feifer,Karissa Lee Staples,Brant Daugherty,David ODonnell,Brittany Underwood]",3216
Brotherly Love,2019,TV-MA,92,"Drama, Mystery, Thriller",5.4,"Through readings of historical account by actors and the testimony of survivors, the events of the Nanjing Massacre are recounted.","[Sebastián Schindel,Joaquín Furriel,Martina Gusman,Luciano Cáceres,Heidi Toini]",3652
